Customer_Nationality,Date,Reviews
UK,Mar-20,"Worst airport I’ve ever arrived into. Huge queues probably due to the slowest staff ever. Despite queues out of the door and we were there for over 2 hours, staff could be seen chatting to each other between customers (not asking for next in line due to talking) and then taking an age to process, the whole time being very unfriendly and downright rude! Worst security checks anywhere."
US,Mar-20,"The security line set up is totally unreasonable. There is one PreCheck line and no separate ""CLEAR"" line. The ""CLEAR"" machine and staff are placed at the front of TSA PreCheck line, allowing CLEAR customers to cut through the PreCheck line. Really? CLEAR has higher priority than PreCheck? If so, TSA should announce it, so people can decide to buy CLEAR instead of PreCheck. I believe the CLEAR machines and staff should be placed at the end of PreCheck line or a separate area away from the PreCheck line, so when they are confirmed CLEAR, they can get in PreCheck line like all the other PreCheck customers. I suspect CLEAR pays TSA or the airport the get their program this unofficial advantage."
UK,Feb-20,Dreadful experience! Nearly 3 hour wait with two people at the desks. Humourless and arrogant staff when we were finally ‘processed’ with no hint of apology for the time we had waited. Felt like herded cattle and treated similarly. A truly awful introduction to the States.
Jordan,Jan-20,Worst ever arrival immigration process globally. 10h30 am arrival and only one immigration officer for the entire terminal with 3 777 planes. 3 hours waiting queue
UK,Jan-20,"Hundreds of people awaiting to get through arrivals security. 3 out of the 12 booths on our side were open, all the rest shut. Still currently stood waiting, it's been over an hour so far."
US,Jan-20,"Shocking. Ridiculously long queues with slow and unhelpful staff. Half the booths were empty meaning wait times of well over 2 hours. Worst airport I’ve ever been in. Staff treated/talked to you like animals. Arrived back in Australia in Jan 2020 a what a completely wonderful experience. I will look at flying through another airport Newark or LaGuardia as I love visiting New York.
"
UK,Jan-20,"Will never ever use this airport again. Rude, ignorant staff treating people like animals, absolutely shocking. If you treat people like this you will get treated back like it. I have never witnessed so many angry pasengers. Security staff were worst of all, barking and shouting at people like they were vermin. It seems the security staff were on a power trip to see how many people they could ridicule and intimidate. If this is the way the US is going god help them.
"
Australia,Dec-19,"Absolutely despicable. I have never in my life seen an airport be so disorganised, the staff so so rude, and the lines for security were so long!! All over the world they do it so much better, JFK security is manned by power tripping morons! It took us 2 hours to get through check in and security (travelling with 5 of us, 3 children), and we missed our flight by 5 min! When we were going through security the rude arrogant lady opened every single present my children received for Christmas, opening up the toys with a screwdriver. They do this for phones, iPads, Nintendo switch! Why would they do it for a Harry Potter wand and a Star Wars droid, that I wouldn’t be surprised if it even works now, never been used! Why can’t the X-ray scanner see if there is anything inside it like all other luggage! My son was upset seeing her pull apart his droid which seemed to spur her on in her arrogance and self importance! My daughter who wears an arm brace for her recently operated on elbow gets patted down at each airport, not at JFK, they seem to think 3 different people should pat her down, then they stood there and argued about who is more important and who should’ve done it first! The arrogant self important lady who took a screwdriver to my sons toy, was more upset that she didn’t get to do the pat down than anything, taking pleasure in not only treating us and anyone around her with disrespect and contempt, but the staff that she works with as well! It took us 48min alone to just get through security. I respect the process, but it doesn’t need to be this unpleasant! After all of this the morons at security let through my sons medication which was 250ml of liquid and a pair of scissors (but thank goodness his Harry Potter wand was scrutinised for hidden things). I only know they let these things through because after missing our flight boarding (the plane was still there and the ramp just shut) we went to LeGuardia airport to wait with 3 children for 5 hours on standby and their security picked them up! But guess what, they just scanned the Star Wars droid and Harry Potter wand like any other airport in the free world. Shame on you JFK, clearly you need to invest in visiting first world airports in other major cities around the world, clone what they do, and then maybe you may measure up on the world scale! At the moment you fail dismally and are at the very bottom of the pile."
UK,Nov-19,Worst immigration system I’ve ever experienced! 2 hours in a queue that barely moved. As more fights landed the queues got longer and still a maximum of 2 officers checked people through customs. I will never fly through this airport again. Absolute disgraceful way to treat visitors and puts me totally off coming back to New York.
Canada,Nov-19," Probably the worst airport experience in a major city. The queue time is long and the line is inefficiently managed. The airport staff is very unpleasant, not nice or polite to travellers with lots of screaming and directing. Many bags were opened for no real reason just to hold out the line. The staff at food shops are half-asleep and made diners wait just to fix their nails and gloves. Poor experience in general and was definitely not expecting this level of service at a major airport."
UK,Nov-19,"I was early for a flight at 08.05, 12th November 2019. Went up through security and sat by my gate. At 00.30, a civilian security guard asked me to leave Departures as it was more than 4 hours until my flight. This would mean leaving departures. Going to arrivals and re-submitting my luggage and self back through security. This may or may not be correct although the official website does suggest you are at the terminal at least 3 hours before international flights. Anyway the security guard, who was not rude, refused to identify himself by name or personnel number. I pointed out that I would neeed either for a complaint. He stated, 'just tell them security told you that had to'. I spoke to security downstairs, after going back to arrivals. Again professional, however, they said that complaint could not be made as I couldn't identify the guard. Firstly, I pointed out that, that was because he wouldn't identify himself. Secondly, he spoke to me at 00.30 approximately at gate 9, therefore, not an insolvuable problem. I spoke to the security ops and raised my concerns. If I am to admitted 4 hours before flight then that is now only 1 hour 15 away. Where am I supposed to go for that long? Instead arrivals is like, a not entirely clean, zombie movie. A pity most staff really good."
Singapore,Nov-19,"My wife broke her wrist and small finger and her hand was in a cast the day before. Because she was walking unsteadily, we decided it is better that she be in a wheelchair. When we arrive at the security, she was asked to stand up. Trying to comply, she stood rather unsteadily. The immigration officer kept her standing for while. Another officer asked her to go in through another screen but this same officer scolded her and told her to stand there saying words to the effect, ""How many times have I got to tell you to stand there?"" When he finally deigned to let her go through the security screen, she found herself held up at the other side as two officer tried to find out if her plaster cast on her hand was real or not. ""It's real"" they concluded finally! We complained to the supervisor who was seated after that and she promise to take action. Whether she did or not we don't know. This is nothing but bullying and humiliating people who have visited the US to spend money and was unfortunate to have a fall. If this is how the US customs treat people I think there are many other countries we can go to. We have resolved not to go back to the US for a long time to come."
Belgium,Nov-19,"his is really one of the worst airports I have been to. You can compare it with the one of Cuba Havana with the only difference that there is WiFi, which was not working when we arrived. Security queues where really long when we arrived. All staff (except for 1 funny guy) was unfriendly and not helping customers. Temperature control was really awful. It switched from really hot to windy for a few seconds. Air quality was really breath taking and foods and shops were really not up to standard European airport standards. Really strange that one of the biggest cities in the world has an airport like this."
US,Nov-19,"he passport scanners don't work properly, only passport control person was working. 90 minutes was fun. The airport is dirty and poorly ventilated. Will be sure to avoid in the future and it is a poor reflection on our country. The perfect result of what happens when governments employees run airport."
UK,Nov-19,"My children and I were going through security and had made sure to take off shoes and load trays in readiness for the x-ray machine. In the UK, where we are from, all shoes, coats and bags need to be loaded into trays so this is what we did. Suddenly we found ourselves being shouted at aggressively by a female security attendant who was angry that we hadn’t understood her barked orders to remove bags and shoes from trays. My young son was getting flustered as she was so aggressive in her manner (his first long distance trip) and so she sighed loudly, made some derogatory remark and then removed his shoes angrily from a tray and banged them onto the conveyor belt. Her behaviour was so rude and I politely told her so, whereupon she shouted “I’m not being rude. If you listened the first time there wouldn’t be a problem!” A second attendant then shouted at several of us for standing too close to the gate by the scanner. My sons and I were shocked by the aggressive and rude way we were treated, and other passengers expressed similar feelings. How on earth would people with learning difficulties or other frailties cope with this treatment?! Upsetting end to our holiday in the USA - made us glad to be getting back on a plane to the UK! Training is urgently needed to remind these people that travellers are human beings with feelings, who are paying a lot of money for their flights and who deserve to be treated with basic respect! After security we paid a lot of money for food that arrived cold and after a very long wait. Overall not a positive experience."
Netherlands,Oct-19,"On several locations I really felt treated like cattle. “Move up, stand there, don’t go there’s, etc.. Come on staff, treat us the way you want to be treated yourself."
UK,Oct-19,Went through immigration and customs in 30 minutes. I’ve read a great many reviews about slow long lines at immigration but we arrived on time from UK and were through in a very short time.
UK,Oct-19,"Rude, unhelpful and officious staff; do they receive special training to unlearn basic customer service? My mother taught me to smile and say “please” and “thankyou”. Incompetent and inefficient setup; have they never seen how other international airports work? Please someone, go visit Changi or Haneda to see how to do it properly. On arrival, there was just one immigration officer for two full planes. Long lines of unhappy people ordered around like cattle. I’ve previously missed connecting flights due to extremely long wait times in immigration. On departure, surly staff are needlessly rude. Security is a joke with little understanding of the concept of flow. Terminal 7 is small with very basic amenities. I’ve travelled internationally every month for the last 25-years, and in my experience, JFK is one of the worst airports in the world. If first and last impressions matter, then JFK is a total fail and does NYC a massive disservice. Avoid if at all possible."
US,Oct-19,"I arrived home to find that my checked bag had been opened, it was locked when I checked it and not locked when I got to my destination. I know that TSA will randomly open and check a bag which I have no problem with, however, I had 2 carefully packaged whiskey glasses from Hudson Valley Distillers which were missing. It is a shame when those who have the job of security cannot be trusted. The glasses were of very little value monetarily but a reminder of an otherwise wonderful trip. I was told a long time ago that you are only worth what you are willing to lie or steal for, in this case about $5, oh worthy individuals. Maybe TSA should make those who open a bag register and do so under camera surveillance. Who's the real security threat? Oct 19 Jetblue flight 161 from JFK to Sacramento in case anyone cares"
UK,Oct-19,"This was the worst arrivals experience I have ever had. I have visited many airports, including some in developing African countries and JFK stands out from all of them. Standing in a queue for 2 hours (with 2 children) just to get through immigration is totally unacceptable. I thought maybe there were some staff on strike or something, but no, there just weren't enough staff - only about half of the counters were open. Why? When we finally got through our baggage was on the floor next to the carousel - it had had to be taken off so that the carousel could be used for another flight! None of the staff I asked could tell me why the queue was so long (when we were at the back and couldn't see what was going on). One lady, when I said ""excuse me, can you tell me what's going on?"" Just said ""No"" and carried on walking! Absolutely dreadful after an eight hour flight. My daughter went to the toilet after we finally retrieved our baggage and said they were disgusting. And when we got I to a taxi and told the driver where we needed to go, which was an airport hotel, he asked ""where is that?"" and I had to give him the full address! I hadn't realised London was such a paradise. I hope never to fly in to this airport again."
France,Oct-19,"This is the worst experience I have had in an airport. 3 hours was not enough to get through immigration and transfer to the connecting flight. The airlines say that they were on time so, it’s not their fault. Nobody will pay for a hotel until we can get on another flight to our final destination. All the staff in the airport were unhelpful, even the supervisor who advised us to come back to her after 30 minutes if we had not gotten to the security checkpoint. She just said we had to kept waiting, and, as a result, we missed our transfer. I used to like the USA. I now have no intention of coming back or spending any money on American products."
UK,Oct-19,1hr 30mins to clear passport control even with the automated system. Without doubt the worst arrivals experience I have had. Totally unacceptable that there were only 2 border control officers for the whole of international arrivals.
US,Oct-19,"I was extremely disappointed in the customer service at JFK airport. I had numerous encounters where staff/individuals were unwilling to assist with questions, I was told different agents to see, multiple numbers to call, I was told to not step up to a counter without being “told” by agent and then told to step up and fill in gaps when there were gaps in TSA lines - I assimilated this experience with being a cattle in a barnyard - quite inhuman. The experience was terrible and I will go to great lengths to not fly through the airport in the future. Lastly the personnel gives your city and our nation a bad image for visitors and I hope you think about how to train staff in a more effective manner."
US,Sep-19,"Amazing, I felt like I was in some under-resourced country: old rusty bathrooms, broken escalator, insufficient seating, crowded, terrible food choices for high prices. Terminal 2 needs a complete makeover!"
US,Sep-19,"Absolutely awful. Rude, incompetent staff who were scruffy, sour faced and unhelpful and who were screaming unintelligible instructions to confused passengers of all ages. Endless snaking lines, absolute chaos. I have travelled extensively and have never, ever seen such a disgusting airport and staff. (perhaps the exception here is La Guardia Airport) How can New York put up with this being the first impression international travelers get when they arrive in the United States? A disgusting experience all in all."
UK,Aug-19,"I’m almost speechless. For an international airport this is an embarrassment. We flew from Terminal 7 and I would recommend everyone avoid if they can. Filthy, cramped, disgusting toilets, and the limited selection of hugely overpriced and underwhelming food is laughable, particularly the utterly nonsensical ordering system which involves not one trip to a cashier but 3. WiFi impossible to connect to, very limited selection of shops to pass the time in & staff rushed and rude. I thought Frankfurt airport was bad but this is on a level if not worse."
US,Aug-19,The US Customs failed to have enough staff to move people through causing my wife and our one year old son to miss their connecting flight to CLT airport. Then had to wait longer do to Delta airlines aircraft problem.
UK,Aug-19,"Terminal 4 is appalling. We arrived from Manchester and queued 1 and a half hours to get through immigration. After a 7 hour flight this really is not ideal. I witnessed one lady member of staff whilst directing people as to which queue they should go in, talking to and pulling facial expressions which were totally unacceptable. When we departed to go back to the UK I was absolutely appalled at the rudeness of one member of staff. We were taken 2 floors down to an alternative security area (due to the security area in departures being too busy). The organisation was ridiculous. One lady spoke to my 2 teenage sons in a totally disrespectful and rude manner. Totally uncalled for. She spoke to them like they were stupid - they are far from stupid. I am annoyed with myself for not saying anything at the time, however, I was stunned and also in the position of possibly affecting our ability to board the flight had I confronted her. The staff in this airport are rude."
Netherlands,Aug-19,"One of the worst airports ever. Staff are extremely unfriendly and the queues last forever. They are so inefficiënt. Airport taxes are high, and for what? Food courts are far too expensive. I hated the experience."
US,Aug-19,Food prices are a complete and utter disgrace. Water over $4. One banana costs $1.99. Terminal size is poky. No decent shopping. Will never return via this airport - amazed at such poor facilities servicing one of the busiest cities in the world. Once again food prices are a disgrace.
Philippines,Jul-19," I arrived at JFK from Manila on a Philippine Airlines flight in May 2019, used it for both arrival and departure on JetBlue in June 2019, and then used it for transit from a JetBlue flight to a Philippine Airlines flight in July 2019. Sure, you can get to this airport from seemingly anywhere around the world, and it services the exciting city of New York. The TSA agents typically are surprisingly decent too. And check-in staff are usually pretty nice. Unfortunately, that's pretty much the extent of the positives about this airport. Upon arrival in Terminal 1, I was greeted by a customs and immigration facility that appeared to be under construction. It looked awful - all torn up! A passport control officer was basically just waving all of us in the U.S. Citizens line through while wishing us a good one. It seemed to take a really long time for luggage to arrive on the carousel. I don't mean my luggage personally. I mean anyone's luggage! Meanwhile, staff informed my parents (who were picking me up there) that everyone from our flight had already exited customs - when none of us had yet! My first flight into JFK on JetBlue was delayed. My flight out of JFK on JetBlue was delayed. My flight back to JFK on JetBlue was delayed. I think the only reason my flight back to Manila on Philippine Airlines was NOT delayed was that it took off at 3:45 A.M., when no one else was flying out of the airport! Transiting from terminal to terminal is a hassle, too. It requires exiting your first terminal, walking down a seemingly endless hallway to the AirTrain, taking the AirTrain to your second terminal's stop, and then walking down another seemingly endless hallway to that terminal proper. Then, of course, because you're coming in from outside the secure area, you have to go through security all over again! As for food and beverage outlets, most appear to range from relatively expensive to borderline price gouging. One very notable exception was the Dunkin' Donuts landside in Terminal 1. It appears to be the only dining option available 24 hours, and so it was the only place I could use my $20 meal voucher landside, since my flight departed in the middle of the night. At Dunkin' Donuts, I was informed that if I was going to use my meal voucher, then I had to spend at least $20. I was astonished! I struggled to manage to buy $20 worth of food and drink there. I made myself sick. I still do not understand why they would not accept the voucher for a smaller amount. It's not like they would be losing money on the deal! Add to all of this restrooms which are often not very clean and with sensors which automatically turn on sink faucets when you're nowhere near them (but don't turn on when you are near them). Finally, there's the issue of the airport's being quite far from Manhattan. I've heard LaGuardia and Newark are even worse. If so, then heaven help the people who fly out of there!"
UK,Jul-19,God help you clearing security here. 30mins wait for a bag that gets checked. One member of staff checking each. One supervisor watching for a while. Several staff members floating around.
UK,Jul-19,"Have never met staff as rude as they are at this airport! Arrived from London and was told by airline staff to go in the quick connect queue for our connecting flight to Orlando. A member of staff came over screaming at us that we were in the wrong queue, when I asked where we were supposed to go she just shouted “read the signs”. We ended up in a queue behind at least 50 people with one desk open. When it got to 15 minutes before our gate was due to close I asked several members of staff for assistance only to be ignored and told to wait. I managed to persuade fellow passengers to let me and my group go to the front of the queue. We then had to collect our luggage and go back through departures and security to get our connecting flight. When we got to the gate it had been changed last minute and was in a different terminal. Running around the terminal trying to find a screen with the correct information was like a scene from Hone Alone!!! We then had to get a bus over to the new gate. I fully expected to have missed the flight however we were lucky in that the flight had arrived late. We got to the gate just as it was closing. Thankfully just in time. This airport is totally disorganised and probably the worst airport experience I’ve had. I wouldn’t fly here again."
Canada,Jul-19,"In November of 2018 I went to Iceland, Norway and Alaska, with an overnight layover at JFK before boarding a connection to Seattle. This airport is absolutely disgusting, however, I must admit that customs and TSA were good, and I actually found them polite. However, as for the rest of the airport, Delta is horribly rude, the restaurants are disgusting and the baggage carts are a total rip off, a scam, charging $6.00 for the use of them, and on top of that they scream at you, in Toronto there is no charge. Then I get to Seattle and Alaska and people are polite and helpful. Going through JFK you feel as if you're going through another dimension."
